PlatformGenre,Continent,SumSales
3DSShooter,Europe,0.35
3DSShooter,Asia,0.2
3DSMisc,North America,2.69
3DSMisc,Europe,2.38
3DSMisc,Asia,5.51
3DSPuzzle,North America,1.3
3DSPuzzle,Europe,2.15
3DSPuzzle,Asia,1.8
3DSRole-Playing,North America,23.76
3DSRole-Playing,Europe,14.91
3DSRole-Playing,Asia,41.99
3DSRacing,North America,6.35
3DSRacing,Europe,4.69
3DSRacing,Asia,2.83
3DSPlatform,North America,13.27
3DSPlatform,Europe,10.51
3DSPlatform,Asia,6.48
3DSSports,North America,1.66
3DSSports,Europe,2.17
3DSSports,Asia,1.98
N64Strategy,North America,4.64
N64Strategy,Europe,1.7
N64Strategy,Asia,3.68
N64Adventure,North America,0.23
N64Adventure,Europe,0.05
N64Adventure,Asia,0.17
N64Fighting,North America,15.66
N64Fighting,Europe,3.7
N64Fighting,Asia,2.45
N64Action,North America,18.96
N64Action,Europe,6.35
N64Action,Asia,3.67
N64Simulation,North America,5.77
N64Simulation,Europe,1.57
N64Simulation,Asia,2.51
N64Shooter,North America,13.96
N64Shooter,Europe,4.02
N64Shooter,Asia,1.02
N64Misc,North America,6.27
N64Misc,Europe,1.44
N64Misc,Asia,3.36
N64Puzzle,North America,2.21
N64Puzzle,Europe,0.57
N64Puzzle,Asia,0.54
N64Role-Playing,North America,1.34
N64Role-Playing,Europe,0.35
N64Role-Playing,Asia,1.5
N64Racing,North America,26.68
N64Racing,Europe,8.29
N64Racing,Asia,4.46
N64Platform,North America,21.23
N64Platform,Europe,7.59
N64Platform,Asia,6.31
N64Sports,North America,22.07
N64Sports,Europe,5.43
N64Sports,Asia,4.55
PSStrategy,North America,6.65
PSStrategy,Europe,5.19
PSStrategy,Asia,8.49
PSAdventure,North America,8.51
PSAdventure,Europe,7.72
PSAdventure,Asia,3.45
PSFighting,North America,34.09
PSFighting,Europe,20.88
PSFighting,Asia,13.9
PSAction,North America,62.88
PSAction,Europe,45.13
PSAction,Asia,11.46
PSSimulation,North America,6.79
PSSimulation,Europe,4.34
PSSimulation,Asia,12.64
PSShooter,North America,21.16
PSShooter,Europe,13.57
PSShooter,Asia,2.38
PSMisc,North America,20.76
PSMisc,Europe,13.52
PSMisc,Asia,8.31
PSPuzzle,North America,5.29
PSPuzzle,Europe,2.37
PSPuzzle,Asia,3.8
PSRole-Playing,North America,20.73
PSRole-Playing,Europe,12.42
PSRole-Playing,Asia,40.95
PSRacing,North America,51.43
PSRacing,Europe,35.08
PSRacing,Asia,10.89
PSPlatform,North America,34.21
PSPlatform,Europe,21.64
PSPlatform,Asia,5.12
PSSports,North America,64.02
PSSports,Europe,31.75
PSSports,Asia,18.43
XBStrategy,North America,2.05
XBStrategy,Europe,0.61
XBStrategy,Asia,0
XBAdventure,North America,2.22
XBAdventure,Europe,0.73
XBAdventure,Asia,0
XBFighting,North America,10.01
XBFighting,Europe,2.74
XBFighting,Asia,0.36
XBAction,North America,34.34
XBAction,Europe,12.81
XBAction,Asia,0.33
XBSimulation,North America,5.43
XBSimulation,Europe,1.43
XBSimulation,Asia,0.03
XBShooter,North America,46.16
XBShooter,Europe,15.25
XBShooter,Asia,0.24
XBMisc,North America,7.19
XBMisc,Europe,1.99
XBMisc,Asia,0
XBPuzzle,North America,0.32
XBPuzzle,Europe,0.08
XBPuzzle,Asia,0
XBRole-Playing,North America,9.89
XBRole-Playing,Europe,3.04
XBRole-Playing,Asia,0.08
XBRacing,North America,21.48
XBRacing,Europe,8.67
XBRacing,Asia,0.17
XBPlatform,North America,6.58
XBPlatform,Europe,2.7
XBPlatform,Asia,0.01
XBSports,North America,41.02
XBSports,Europe,10.9
XBSports,Asia,0.16
PCStrategy,North America,19.63
PCStrategy,Europe,22.57
PCStrategy,Asia,0
PCAdventure,North America,1.76
PCAdventure,Europe,7.71
PCAdventure,Asia,0
PCFighting,North America,0.1
PCFighting,Europe,0.17
PCFighting,Asia,0
PCAction,North America,10.15
PCAction,Europe,18.31
PCAction,Asia,0
PCSimulation,North America,20.08
PCSimulation,Europe,28.41
PCSimulation,Asia,0
PCShooter,North America,18.81
PCShooter,Europe,22.84
PCShooter,Asia,0.17
PCMisc,North America,5.69
PCMisc,Europe,2.53
PCMisc,Asia,0
PCPuzzle,North America,0.09
PCPuzzle,Europe,0.68
PCPuzzle,Asia,0
PCRole-Playing,North America,17.35
PCRole-Playing,Europe,25.64
PCRole-Playing,Asia,0
PCRacing,North America,0.44
PCRacing,Europe,3.07
PCRacing,Asia,0
PCPlatform,North America,0.05
PCPlatform,Europe,0.35
PCPlatform,Asia,0
